"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","eids-badge__description","eids-badge__label","he-lazy-image src 2","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/istanbul-sariyer-ayazaga-kiralik/daire/69537-85689","39","65.000","28-02-2025","Kiralık Daire","1 +
                          1","85 m²","10
                        Yaşında","Ara Kat","İstanbul / Sarıyer / Ayazağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537/bahar-bayrak-1323177","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/9/7/9/4/2/4/4/2ea4a8e9-b9eb-4eaa-b953-681cf5c8b131.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/7/1/3/2/3/1/c5756cdc-d6b2-436e-ad54-b1ef27f03bd9.jpg",""
"https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/villa/81759-2430","6","230.000","28-02-2025","Kiralık Villa","5 +
                          1","385 m²","15
                        Yaşında","","İstanbul / Sarıyer / Zekeriyaköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/nokta-emlak-gayrimenkul-81759/gamze-dogan-1594702","","Nokta Emlak Gayrimenkul","","","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/9/6/1/8/8/2/4/e056ab8f-7839-467f-ab76-4e893ecdf2e8.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg",""
"https://www.hepsiemlak.com/istanbul-sariyer-emirgan-kiralik/daire/6231-15880","13","90.000","28-02-2025","Kiralık Daire","1 +
                          1","110 m²","57
                        Yaşında","1. Kat","İstanbul / Sarıyer / Emirgan Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/2/2/7/1/2/4/4/481b915b-7006-4396-8d70-5ee944c554fb.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/6231-15877","20","110.000","28-02-2025","Kiralık Daire","3 +
                          1","172 m²","1
                        Yaşında","3. Kat","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/6/2/5/7/1/4/4/60ecf3a0-7fd8-45ce-af95-95b86659098e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/daire/6231-15868","12","130.000","28-02-2025","Kiralık Daire","3 +
                          1","4.125 m²","30
                        Yaşında","5. Kat","İstanbul / Üsküdar / Sultantepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/2/4/6/3/1/4/4/c1aa4e1e-e7aa-4afd-a96d-e2957267e12e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/6231-15882","18","135.000","28-02-2025","Kiralık Daire","2 +
                          1","110 m²","40
                        Yaşında","4. Kat","İstanbul / Beşiktaş / Bebek Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/4/5/3/3/2/4/4/632c8c3a-eb06-47f4-8579-d443eb3f866d.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/6231-15867","20","140.000","28-02-2025","Kiralık Daire","4 +
                          0","230 m²","1
                        Yaşında","1. Kat","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/6/7/5/9/0/4/4/d3de769e-df96-4e11-b9bd-097db075c9a2.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-uskudar-kuzguncuk-kiralik/kosk/6231-15819","25","165.000","28-02-2025","Kiralık Köşk","4 +
                          2","350 m²","56
                        Yaşında","","İstanbul / Üsküdar / Kuzguncuk Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/0/4/2/4/9/3/4/b1cf8002-f8bc-47d6-9c87-8681232030ad.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/6231-15866","19","170.000","28-02-2025","Kiralık Daire","4 +
                          1","315 m²","1
                        Yaşında","Bahçe Katı","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/9/6/5/9/0/4/4/0f37f72c-34e7-4ec4-ae8b-7f3179d3bd5b.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
"https://www.hepsiemlak.com/istanbul-sariyer-sariyer-merkez-kiralik/daire/6231-15863","11","215.000","28-02-2025","Kiralık Daire","5 +
                          1","220 m²","60
                        Yaşında","Villa Katı","İstanbul / Sarıyer / Sarıyer Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Space İstanbul Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/0/7/3/8/0/4/4/78f0d4a7-feeb-4771-939c-868b525a7f0c.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg",""
