city,district,neighborhood,room,living room,area,age,floor,price
İstanbul, Tuzla , İstasyon Mah.,3,1,120,8,1,350
İstanbul, Tuzla , Postane Mah.,1,1,55,25,0,300
İstanbul, Tuzla , Postane Mah.,3,1,120,5,2,350
İstanbul, Tuzla , Aydınlı Mah.,2,1,130,30,3,150
İstanbul, Tuzla , İstasyon Mah.,2,1,93,12,2,400
İstanbul, Tuzla , Evliya Çelebi Mah.,3,1,115,23,5,200
İstanbul, Tuzla , Aydıntepe Mah.,1,1,70,7,1,230
İstanbul, Tuzla , Cami Mah.,1,1,70,12,0,350
İstanbul, Tuzla , Postane Mah.,2,1,105,18,5,290
İstanbul, Kadıköy , Caddebostan Mah.,3,1,135,0,6,1000
İstanbul, Esenyurt , Piri Reis Mah.,1,1,75,8,6,180
İstanbul, Kadıköy , Suadiye Mah.,3,1,115,8,1,750
İstanbul, Beşiktaş , Muradiye Mah.,3,1,135,35,2,410
İstanbul, Eyüpsultan , Karadolap Mah.,2,1,95,7,1,310
İstanbul, Çekmeköy , Ekşioğlu Mah.,2,1,70,8,2,285
İstanbul, Üsküdar , Mimar Sinan Mah.,1,0,25,0,0,180
İstanbul, Bahçelievler , Siyavuşpaşa Mah.,1,1,80,30,1,250
İstanbul, Bakırköy , Yeşilköy Mah.,5,2,280,25,4,750
İstanbul, Kadıköy , Fenerbahçe Mah.,4,1,175,30,3,850
İstanbul, Fatih , Topkapı Mah.,4,1,190,40,5,400
İstanbul, Üsküdar , Bahçelievler Mah.,4,1,180,1,0,840
İstanbul, Sarıyer , Yeniköy Mah.,3,1,120,35,2,500
İstanbul, Şişli , Teşvikiye Mah.,4,1,366,0,3,5500
İstanbul, Şişli , Fulya Mah.,2,1,90,31,0,310
İstanbul, Kadıköy , Caferağa Mah.,1,1,60,5,0,450
İstanbul, Bakırköy , Şenlikköy Mah.,3,1,165,26,0,570
İstanbul, Üsküdar , Çengelköy Mah.,2,1,124,2,0,550
İstanbul, Sarıyer , Büyükdere Mah.,5,2,400,10,2,3600
İstanbul, Kadıköy , Dumlupınar Mah.,2,1,103,7,2,545
İstanbul, Gaziosmanpaşa , Yenidoğan Mah.,3,1,135,30,1,235
İstanbul, Bağcılar , Fevzi Çakmak Mah.,4,1,150,12,5,550
İstanbul, Bakırköy , Zuhuratbaba Mah.,4,1,175,26,5,510
İstanbul, Maltepe , Altıntepe Mah.,3,1,120,35,2,300
İstanbul, Büyükçekmece , Ekinoba Mah.,3,1,130,25,7,190
İstanbul, Küçükçekmece , Atatürk Mah.,1,1,65,5,21,285
İstanbul, Sarıyer , Ferahevler Mah.,2,1,70,25,5,510
İstanbul, Esenyurt , Aşık Veysel Mah.,1,1,78,14,12,170
İstanbul, Kağıthane , Hürriyet Mah.,2,1,58,6,2,250
İstanbul, Bahçelievler , Siyavuşpaşa Mah.,3,1,130,30,2,250
İstanbul, Küçükçekmece , Tevfik Bey Mah.,1,1,48,7,3,200
İstanbul, Kadıköy , 19 Mayıs Mah.,3,1,145,35,1,350
İstanbul, Şişli , Mecidiyeköy Mah.,4,1,120,0,3,400
İstanbul, Şişli , Mecidiyeköy Mah.,2,1,85,10,7,200
İstanbul, Avcılar , Cihangir Mah.,2,1,90,30,1,165
İstanbul, Pendik , Dumlupınar Mah.,1,1,70,8,0,195
İstanbul, Kadıköy , Fenerbahçe Mah.,2,1,90,35,2,700
İstanbul, Eyüpsultan , Güzeltepe Mah.,2,1,130,22,4,240
İstanbul, Küçükçekmece , Beşyol Mah.,2,1,100,30,6,200
İstanbul, Kadıköy , Sahrayı Cedit Mah.,2,1,110,30,1,390
İstanbul, Beşiktaş , Kültür Mah.,3,1,120,35,-2,675
İstanbul, Kağıthane , Seyrantepe Mah.,1,0,50,14,2,280
İstanbul, Bahçelievler , Bahçelievler Mah.,4,1,230,15,1,780
İstanbul, Kadıköy , Caddebostan Mah.,3,1,125,6,7,1100
İstanbul, Gaziosmanpaşa , Merkez Mah.,2,1,110,25,2,265
İstanbul, Gaziosmanpaşa , Karayolları Mah.,2,1,95,12,2,300
İstanbul, Beşiktaş , Mecidiye Mah.,3,1,115,30,2,360
İstanbul, Kağıthane , Emniyet Evleri Mah.,1,1,75,12,3,180
İstanbul, Fatih , Seyyid Ömer Mah.,1,1,75,40,2,170
İstanbul, Bahçelievler , Bahçelievler Mah.,1,1,77,3,12,375
İstanbul, Başakşehir , Bahçeşehir 2. Kısım Mah.,3,1,180,23,2,320
İstanbul, Kadıköy , Feneryolu Mah.,2,1,102,0,4,650
İstanbul, Sarıyer , Maslak Mah.,1,1,90,7,10,500
İstanbul, Pendik , Kaynarca Mah.,1,1,67,10,0,180
İstanbul, Kadıköy , Suadiye Mah.,3,1,115,8,1,750
İstanbul, Zeytinburnu , Nuripaşa Mah.,2,1,65,16,0,150
İstanbul, Esenyurt , Fatih Mah.,2,1,90,9,2,130
İstanbul, Maltepe , Zümrütevler Mah.,2,1,90,6,1,230
İstanbul, Fatih , Silivrikapı Mah.,2,1,75,40,3,210
İstanbul, Kartal , Atalar Mah.,3,1,145,25,4,280
İstanbul, Üsküdar , Bulgurlu Mah.,3,1,150,25,3,700
İstanbul, Çekmeköy , Güngören Mah.,3,1,120,10,2,300
İstanbul, Maltepe , Küçükyalı Mah.,2,1,130,28,5,600
İstanbul, Bahçelievler , Siyavuşpaşa Mah.,2,1,90,30,2,200
İstanbul, Beylikdüzü , Yakuplu Mah.,3,1,135,25,1,180
İstanbul, Bahçelievler , Soğanlı Mah.,2,1,75,5,0,180
İstanbul, Beykoz , Acarlar Mah.,3,1,180,14,2,900
İstanbul, Sultangazi , 50. Yıl Mah.,2,1,130,16,2,190
İstanbul, Bakırköy , Osmaniye Mah.,1,1,195,10,1,950
İstanbul, Şişli , Mecidiyeköy Mah.,1,1,65,0,3,400
İstanbul, Sancaktepe , Fatih Mah.,3,1,100,21,6,180
İstanbul, Bakırköy , Yeşilköy Mah.,3,1,190,38,2,550
İstanbul, Kadıköy , Kozyatağı Mah.,2,1,125,33,3,400
İstanbul, Şişli , Paşa Mah.,2,1,95,15,4,425
